Vehicle Class Month Wise Data  For All State (2024),,,,,,,,,,,,,,
S No,                      Vehicle Class                       ,Month Wise ,,,,,,,,,,,,     TOTAL     
63,TOW TRUCK,4,12,14,4,9,9,9,7,8,10,9,7,102
64,TRACTOR (COMMERCIAL),"4,693","4,962","4,905","4,292","5,190","5,422","6,458","4,731","4,357","6,121","5,908","5,542","62,581"
65,TRACTOR-TROLLEY(COMMERCIAL),911,909,457,236,320,221,173,153,280,137,273,471,"4,541"
66,TRAILER (AGRICULTURAL),"3,770","3,861","3,767","3,271","3,271","2,956","2,811","2,864","2,717","4,706","3,605","3,762","41,361"
67,TRAILER (COMMERCIAL),"1,364","1,475","1,356","1,204","1,138","1,057","1,116","1,163","1,146","1,712","2,342","1,513","16,586"
68,TRAILER FOR PERSONAL USE,0,1,1,0,0,1,1,0,4,10,0,0,18
69,TREE TRIMMING VEHICLE,0,3,0,0,0,0,0,0,0,1,0,1,5
70,VEHICLE FITTED WITH COMPRESSOR,12,16,12,12,13,12,14,10,30,9,11,5,156
71,VEHICLE FITTED WITH GENERATOR,10,2,18,11,9,6,8,9,8,12,6,5,104
72,VEHICLE FITTED WITH RIG,28,37,43,36,28,24,48,34,36,42,26,41,423
